image,method,PSNR,SSIM
kodim01,box,22.086266272761907,0.5130421263818934
kodim01,gaussian,25.47907338587068,0.7682255559465067
kodim01,median,22.665484127440067,0.5588667142459286
kodim01,bilateral,23.67292122554541,0.5739681871056302
kodim01,chain_open,7.779932864350742,0.20858336565072366
kodim02,box,29.174753433460843,0.7418257101302586
kodim02,gaussian,31.955220191195384,0.8664845368363012
kodim02,median,30.081350717199008,0.7509732731615804
kodim02,bilateral,29.78748942305586,0.7361499033436103
kodim02,chain_open,7.65928120905543,0.0668819114307275
kodim03,box,29.55982949634015,0.8357383617776436
kodim03,gaussian,32.52255133447811,0.9173352335412035
kodim03,median,31.453544407925055,0.858241057995502
kodim03,bilateral,30.29265453267268,0.8275673346456851
kodim03,chain_open,8.45741732732868,0.15823332707844479
kodim04,box,28.86806051128477,0.7859351248271973
kodim04,gaussian,32.05790984895182,0.893503288160916
kodim04,median,30.78821931801812,0.8122647676737482
kodim04,bilateral,29.326965611005868,0.7554698361595993
kodim04,chain_open,7.999494337172738,0.21932988672040774
kodim05,box,22.124903417486763,0.6456716162065612
kodim05,gaussian,25.402839260834178,0.8420809135873111
kodim05,median,23.25487800947608,0.7150776040206738
kodim05,bilateral,23.994631463088048,0.6705484955562266
kodim05,chain_open,8.428856760072033,0.16118637424746257
kodim06,box,23.834480492259903,0.604748626181822
kodim06,gaussian,26.934708216256702,0.8094045571927432
kodim06,median,24.40816593192166,0.6348695905366035
kodim06,bilateral,25.21449863087272,0.6337480012993699
kodim06,chain_open,8.634762813026308,0.2448729097771596
kodim07,box,27.78404207714607,0.860569317443599
kodim07,gaussian,31.499081432781143,0.9413714239613432
kodim07,median,30.308842077718197,0.9068765093753873
kodim07,bilateral,27.96474087113956,0.8314709240245323
kodim07,chain_open,7.3421054275239195,0.3792504894456148
kodim08,box,19.63600130605338,0.5533625974471004
kodim08,gaussian,23.12158283392106,0.7909201598697588
kodim08,median,20.1617602476454,0.6008428443656895
kodim08,bilateral,23.169706709634422,0.6814982888984841
kodim08,chain_open,8.806445164512764,0.2218553819061623
kodim09,box,27.198418066000308,0.8159194597968348
kodim09,gaussian,30.93461952339162,0.9100303075132875
kodim09,median,29.57387993853413,0.8517745854781895
kodim09,bilateral,28.85558409294008,0.8138048666859468
kodim09,chain_open,7.715851232069884,0.44738384730432973
kodim10,box,27.395497827043414,0.8034571747552698
kodim10,gaussian,30.845142838707712,0.9078736703938228
kodim10,median,28.91559970922923,0.8389486580726453
kodim10,bilateral,28.906829257150623,0.7898014570555425
kodim10,chain_open,7.7465613915278775,0.2021889772111156
kodim11,box,25.244065901915427,0.6720163995214085
kodim11,gaussian,28.3848071547372,0.8409700185315714
kodim11,median,26.188752389312477,0.7071499580116031
kodim11,bilateral,26.654962400115828,0.6855758429083839
kodim11,chain_open,6.702998453810897,0.2774776978154122
kodim12,box,28.011917083509484,0.7812216262951684
kodim12,gaussian,31.595467865078493,0.8916991502060828
kodim12,median,30.726204288351294,0.8031986471282694
kodim12,bilateral,29.98361034148729,0.7782129115822953
kodim12,chain_open,9.90650999740561,0.5472242323270319
kodim13,box,20.656727416816892,0.4822458539776297
kodim13,gaussian,23.418331591643145,0.7330917790191026
kodim13,median,20.987287830976488,0.5120010545246568
kodim13,bilateral,22.729780648433323,0.5493798814138182
kodim13,chain_open,8.253266181618017,0.13440236609389183
kodim14,box,24.96907406143833,0.6689111494187526
kodim14,gaussian,28.084109020780858,0.8444956428182294
kodim14,median,25.817969715373135,0.7117914815354118
kodim14,bilateral,25.976812061081837,0.6546176448680487
kodim14,chain_open,8.685506322710967,0.16129023520769917
kodim15,box,27.413810035776155,0.8072079989315909
kodim15,gaussian,30.470441871660043,0.8983856506731086
kodim15,median,29.98266505116963,0.8317591704958963
kodim15,bilateral,29.745834981110765,0.8006773195942148
kodim15,chain_open,12.363259170273066,0.2900120412439648
kodim16,box,27.540327689962126,0.6969273103779985
kodim16,gaussian,30.321022409782763,0.8508184800022478
kodim16,median,27.86747066665431,0.7146591691235727
kodim16,bilateral,28.14458568912042,0.6953438799993296
kodim16,chain_open,8.260432562155284,0.13665123252591632
kodim17,box,28.082685413390212,0.8258639732434759
kodim17,gaussian,31.277132553802147,0.9156694935554887
kodim17,median,29.28568567672279,0.8617235791644914
kodim17,bilateral,28.774367902353934,0.8004697577304688
kodim17,chain_open,8.630993633043126,0.1536185384202135
kodim18,box,24.293175013657724,0.672748587025182
kodim18,gaussian,27.331068758686897,0.8440066780387497
kodim18,median,24.639221916425363,0.7049658273822942
kodim18,bilateral,25.596052752284795,0.652533379019195
kodim18,chain_open,7.423633287552019,0.1129941285592392
kodim19,box,23.905428782921536,0.6934530005819238
kodim19,gaussian,27.540231284704806,0.8486308187745324
kodim19,median,24.23724957865021,0.7214492002632581
kodim19,bilateral,26.159998171044386,0.7245130962449521
kodim19,chain_open,8.166963310827898,0.1956476750072683
kodim20,box,26.37674242762643,0.8277927343507834
kodim20,gaussian,29.465579314181667,0.9113723506156992
kodim20,median,29.191093053127446,0.8577056878510825
kodim20,bilateral,29.301344014966023,0.838816380559865
kodim20,chain_open,12.705705368282342,0.5560359907096808
kodim21,box,24.493003000910303,0.7400186418239585
kodim21,gaussian,27.703286579446296,0.8735657085003123
kodim21,median,25.23921063793619,0.7708431544707851
kodim21,bilateral,26.096367078141935,0.7564272916478112
kodim21,chain_open,7.372598728991769,0.4181238071156904
kodim22,box,26.560495420580246,0.7044450933920463
kodim22,gaussian,29.698234214222264,0.8575714615962117
kodim22,median,27.141846606479042,0.7271721789648381
